LIBGEO,CODGEO,NBMENFISC,NBPERSMENFISC,MED,PIMP,TP60,TP60AGE1,TP60AGE2,TP60AGE3,TP60AGE4,TP60AGE5,TP60AGE6,TP60TOL1,TP60TOL2,PACT,PTSA,PCHO,PBEN,PPEN,PPAT,PPSOC,PPFAM,PPMINI,PPLOGT,PIMPOT,D1,D9,RD,lat,lng
Annecy,044,101457.67,233641.33,25400.32,64.37,7.6,11.37,8.53,8.73,7.47,5.2,5.0,5.0,14.77,80.0,72.17,2.83,5.0,22.97,12.23,2.67,1.33,0.67,0.67,-17.87,13634.16,51200.44,3.74,45.916,6.133
Limoges,035,123964.67,264645.33,20620.0,51.73,14.77,29.07,19.4,17.1,13.3,7.57,8.37,5.5,32.67,68.33,60.8,2.53,4.97,33.57,8.37,6.03,2.0,2.37,1.67,-16.3,10916.89,35006.83,3.19,45.8353,1.2625
Metz,024,163190.33,369033.83,21252.27,50.63,14.37,24.57,18.83,17.33,12.43,8.3,7.37,5.7,27.23,66.73,58.77,3.13,4.83,26.97,16.47,5.27,1.83,1.9,1.53,-15.43,11045.17,38349.4,3.48,49.1203,6.1778
Perpignan,031,141832.67,308619.0,18491.33,43.3,21.43,34.33,26.17,25.73,22.33,13.73,13.6,10.67,37.7,61.9,50.9,3.87,7.13,35.07,10.23,8.43,2.4,3.6,2.43,-15.63,9658.23,32935.35,3.42,42.6986,2.8956
Rouen,012,276213.0,632416.67,20934.56,53.23,14.2,23.73,16.43,17.0,13.43,8.7,6.17,5.0,27.83,73.63,65.57,3.17,4.9,28.77,7.47,6.23,2.33,2.2,1.7,-16.1,11104.88,35974.64,3.24,49.4428,1.0886
Saint-Denis,9D1,77506.33,204197.33,16188.98,34.83,34.0,47.9,37.7,36.07,30.23,25.87,31.73,18.97,42.77,78.33,66.87,4.1,7.33,15.1,7.17,13.53,3.87,6.3,3.37,-14.13,8216.91,39078.95,4.76,48.9356,2.3539
Montreuil-Bellay,682,1683.0,3826.5,18426.29,40.4,17.17,,,23.0,,,,,32.2,62.93,52.53,4.53,5.87,34.63,8.33,6.97,2.8,2.27,1.87,-12.87,10672.13,29541.63,2.76,,
Caen,022,173006.0,394846.83,21219.33,54.13,11.67,22.17,13.77,13.83,11.37,6.1,5.5,5.0,24.07,72.4,64.1,3.1,5.23,29.8,8.53,5.33,2.2,1.67,1.47,-16.07,11903.46,35926.78,3.03,49.1814,-0.3636
Mulhouse,034,117843.67,276599.33,20509.9,52.87,17.9,26.7,23.7,22.73,16.23,10.53,7.2,6.87,33.4,74.5,66.8,3.7,4.0,28.13,8.07,6.33,2.43,2.1,1.8,-17.03,10244.05,39350.44,3.85,47.75,7.34
Nancy,020,181624.67,399281.83,21253.33,54.4,13.93,27.87,16.73,16.23,12.5,7.77,6.07,5.0,29.23,73.4,64.93,2.8,5.63,29.63,8.67,5.73,2.03,2.03,1.67,-17.43,11130.67,37072.38,3.33,48.6936,6.1846
Avignon,016,227503.33,533500.83,19445.89,47.5,18.97,25.77,22.17,22.1,18.8,15.03,11.13,8.77,32.7,68.87,58.47,3.9,6.5,29.33,11.57,6.5,2.4,2.27,1.87,-16.27,10006.73,35022.94,3.52,43.95,4.8075
Poitiers,039,108708.33,243235.83,20844.22,51.8,12.93,27.0,14.97,13.8,11.53,6.6,8.33,5.03,28.87,73.2,65.33,2.9,5.0,28.67,8.77,5.7,2.27,1.8,1.63,-16.33,11470.06,35270.23,3.09,46.58,0.34
Dunkerque,038,105702.0,251334.83,19250.78,47.47,16.73,26.4,20.53,20.33,15.8,9.43,8.43,6.23,31.3,70.87,62.67,3.73,4.5,29.67,7.1,7.37,2.8,2.53,2.03,-15.0,10751.9,32692.51,3.04,51.0383,2.3775
La Rochelle,047,96322.33,210835.33,21310.61,54.07,11.5,21.17,13.0,14.2,12.33,6.47,6.13,5.23,23.23,67.0,57.63,3.4,5.97,34.1,10.57,4.93,1.83,1.77,1.37,-16.6,11982.22,36972.55,3.1,46.16,-1.15
Pau,042,106385.33,235205.33,21541.29,54.1,12.0,23.67,13.63,13.7,11.87,7.17,8.27,5.53,24.9,69.87,61.8,2.97,5.03,31.3,10.63,5.17,1.8,1.97,1.43,-16.97,11783.91,38349.71,3.24,43.3,-0.37
Pauillac,587,2158.67,4732.83,17656.2,40.03,22.23,,31.4,32.93,21.85,,,10.77,35.03,62.47,54.07,4.4,3.97,34.5,8.33,8.47,2.6,3.6,2.3,-13.77,9513.0,29898.89,3.14,,
Ajaccio,090,38002.0,81682.5,21315.17,55.53,14.53,20.83,16.13,15.57,14.4,12.33,13.8,8.17,23.3,71.5,61.83,2.57,7.1,31.3,10.8,4.8,1.3,2.2,1.27,-18.4,11010.25,38498.24,3.5,41.9267,8.7369
Saint-Nazaire,046,102910.67,226277.0,21152.96,53.43,10.43,17.57,12.13,12.6,11.47,6.23,5.6,5.03,23.07,64.47,56.33,3.17,4.97,36.03,10.93,4.93,2.03,1.67,1.27,-16.37,12355.95,35756.78,2.9,47.2736,-2.2139
Colmar,064,55447.0,124964.33,21814.8,57.57,13.07,23.07,17.83,15.43,11.53,7.43,5.73,5.0,24.57,73.83,65.43,2.83,5.6,28.8,10.1,4.63,1.9,1.5,1.23,-17.37,11471.54,39205.33,3.42,48.0817,7.3556
Calais,063,51692.67,124147.83,17796.0,41.67,23.1,39.13,29.17,26.33,22.1,11.0,9.0,9.37,41.5,69.23,60.13,4.17,4.93,28.13,6.87,9.93,3.43,3.73,2.8,-14.17,9654.91,30477.72,3.16,50.9481,1.8564
Valence,050,77966.33,178855.5,20869.3,52.3,13.6,20.83,17.43,16.67,13.17,7.73,6.9,5.8,28.27,70.0,61.47,3.3,5.23,29.67,11.03,5.6,2.27,1.77,1.57,-16.3,11373.74,36411.33,3.22,44.9333,4.8917
Valence,441,53031.67,121834.83,20085.97,49.03,15.7,21.4,19.67,19.27,15.17,9.33,6.7,7.57,29.8,67.17,58.8,3.33,5.03,31.5,10.4,6.23,2.3,2.2,1.73,-15.3,10993.74,34988.0,3.18,44.9333,4.8917
Valence,050,53170.0,121814.5,20148.86,48.93,15.3,20.7,18.2,19.63,14.53,9.17,6.9,7.43,29.1,67.3,58.87,3.4,5.07,31.5,10.27,6.2,2.27,2.2,1.73,-15.27,11059.29,34875.56,3.17,44.9333,4.8917
Valence,441,28235.33,64793.83,19365.52,45.67,17.4,21.7,20.43,22.23,16.53,10.77,6.5,9.2,30.63,64.47,56.2,3.43,4.87,33.33,9.63,6.83,2.3,2.63,1.9,-14.27,10679.29,33452.22,3.13,44.9333,4.8917
Valence,050,53251.67,121692.0,20134.19,49.3,15.5,20.4,19.33,21.17,13.73,9.63,7.1,7.7,29.37,67.4,59.0,3.37,5.03,31.53,10.27,6.1,2.23,2.17,1.7,-15.3,11007.94,34970.0,3.19,44.9333,4.8917
Valence,441,28317.0,64671.33,19350.86,46.03,17.6,21.1,21.57,23.77,15.73,11.23,6.9,9.47,30.9,64.57,56.33,3.4,4.83,33.37,9.63,6.73,2.27,2.6,1.87,-14.3,10627.94,33546.67,3.16,44.9333,4.8917
Valence,050,28455.33,64651.0,19413.75,45.93,17.2,19.7,20.1,24.13,15.1,11.07,7.3,9.33,30.2,64.7,56.4,3.47,4.87,33.37,9.5,6.7,2.23,2.6,1.87,-14.27,10693.5,33434.22,3.14,44.9333,4.8917
Valence,441,3520.67,7630.33,18630.42,42.67,19.3,,22.33,26.73,17.1,12.67,,11.1,31.73,61.87,53.73,3.5,4.67,35.2,8.87,7.33,2.27,3.03,2.03,-13.27,10313.5,32010.89,3.11,44.9333,4.8917
Valence,050,77966.33,178855.5,20869.3,52.3,13.6,20.83,17.43,16.67,13.17,7.73,6.9,5.8,28.27,70.0,61.47,3.3,5.23,29.67,11.03,5.6,2.27,1.77,1.57,-16.3,11373.74,36411.33,3.22,44.9333,4.8917
Valence,441,53031.67,121834.83,20085.97,49.03,15.7,21.4,19.67,19.27,15.17,9.33,6.7,7.57,29.8,67.17,58.8,3.33,5.03,31.5,10.4,6.23,2.3,2.2,1.73,-15.3,10993.74,34988.0,3.18,44.9333,4.8917
Valence,050,53170.0,121814.5,20148.86,48.93,15.3,20.7,18.2,19.63,14.53,9.17,6.9,7.43,29.1,67.3,58.87,3.4,5.07,31.5,10.27,6.2,2.27,2.2,1.73,-15.27,11059.29,34875.56,3.17,44.9333,4.8917
Valence,441,28235.33,64793.83,19365.52,45.67,17.4,21.7,20.43,22.23,16.53,10.77,6.5,9.2,30.63,64.47,56.2,3.43,4.87,33.33,9.63,6.83,2.3,2.63,1.9,-14.27,10679.29,33452.22,3.13,44.9333,4.8917
Valence,050,53251.67,121692.0,20134.19,49.3,15.5,20.4,19.33,21.17,13.73,9.63,7.1,7.7,29.37,67.4,59.0,3.37,5.03,31.53,10.27,6.1,2.23,2.17,1.7,-15.3,11007.94,34970.0,3.19,44.9333,4.8917
Valence,441,28317.0,64671.33,19350.86,46.03,17.6,21.1,21.57,23.77,15.73,11.23,6.9,9.47,30.9,64.57,56.33,3.4,4.83,33.37,9.63,6.73,2.27,2.6,1.87,-14.3,10627.94,33546.67,3.16,44.9333,4.8917
Valence,050,28455.33,64651.0,19413.75,45.93,17.2,19.7,20.1,24.13,15.1,11.07,7.3,9.33,30.2,64.7,56.4,3.47,4.87,33.37,9.5,6.7,2.23,2.6,1.87,-14.27,10693.5,33434.22,3.14,44.9333,4.8917
Valence,441,3520.67,7630.33,18630.42,42.67,19.3,,22.33,26.73,17.1,12.67,,11.1,31.73,61.87,53.73,3.5,4.67,35.2,8.87,7.33,2.27,3.03,2.03,-13.27,10313.5,32010.89,3.11,44.9333,4.8917
Valence,050,77966.33,178855.5,20869.3,52.3,13.6,20.83,17.43,16.67,13.17,7.73,6.9,5.8,28.27,70.0,61.47,3.3,5.23,29.67,11.03,5.6,2.27,1.77,1.57,-16.3,11373.74,36411.33,3.22,44.9333,4.8917
